brand,size,price,query,image,link
Double Helix,"36""",$27.00,baggy jeans,https://media-photos.depop.com/b1/41630872/3671882512_ac38ece88782423f940a8385260e286b/P0.jpg,https://www.depop.com/products/bigfo7ds-super-sick-extremely-baggy-early-fa0c/
Southern Tide,"32""",$20.00,baggy jeans,https://media-photos.depop.com/b1/53265728/3698539951_18e0f3fe13ec43c88e538128de269703/P0.jpg,https://www.depop.com/products/kouh5-baggy-southern-tide-blue-denim-0483/
Levi's,"34""",$19.99,baggy jeans,https://media-photos.depop.com/b1/26158804/3696548031_7271f3f99aa840babd3976193dd5a6ea/P0.jpg,https://www.depop.com/products/archivmpeak-levis-569-blue-jeans-size-b177/
Harley Davidson,"36""",$24.00,baggy jeans,https://media-photos.depop.com/r1/46585796/3691139408_27d920d880644bd6b87366313aa2bbad/P0.jpg,https://www.depop.com/products/p810xhriftz-baggy-2000s-harley-davidson-jeans-9ed3/
Edikted,S,$21.00,baggy jeans,https://media-photos.depop.com/b1/49648958/3689477544_da92705071004066a745c97a29e1fd18/P0.jpg,https://www.depop.com/products/dsbremzy-edikted-petite-raelynn-low-rise-24db/
Garage,1,$11.00,baggy jeans,https://media-photos.depop.com/b1/345341029/3692212045_c2cdaab808cb4e668f16e811e891c438/P0.jpg,https://www.depop.com/products/martini1aguti10-garage-blue-low-rise-baggy-4391/
Old Navy,M,$32.99,vintage hoodie,https://media-photos.depop.com/b1/43745172/3694177982_e5ba1fa2a3ce44d998f6c06ba0bf71ef/P0.jpg,https://www.depop.com/products/tv8tg-vintage-old-navy-1994-hoodie-e330/
Russell Athletic,XL,$24.00,vintage hoodie,https://media-photos.depop.com/b1/285548612/3697093063_8ccc3230d5e84dafa161a6809b77d58f/P0.jpg,https://www.depop.com/products/qfinns__vintage-vintage-russell-athletic-green-henley-eb88/
Champion,L,$20.00,vintage hoodie,https://media-photos.depop.com/b1/41447391/3691129721_a7ca680916da4f27bcc9b317816d11af/P0.jpg,https://www.depop.com/products/rhdrockvntg-vintage-y2k-champion-idaho-vandals-ad75/
Other,M,$15.00,vintage hoodie,https://media-photos.depop.com/b1/42987352/3691519319_e80e8097a46c454389f9809decf5a5ba/P0.jpg,https://www.depop.com/products/shmslby-vintage-australia-grey-spellout-hoodie-b976/
Port & Company,XL,$28.00,vintage hoodie,https://media-photos.depop.com/b1/43745172/3684625940_ea61c92fc74249e2a76f169fb38ebc13/P0.jpg,https://www.depop.com/products/tvvhg-vintage-wyoming-cowboys-distressed-hoodie-954b/
Other,M,$16.00,vintage hoodie,https://media-photos.depop.com/b1/38721434/3695094996_c77d37da1a7b47109c50f626ee1c2110/P0.jpg,https://www.depop.com/products/drr6tylaundry-early-2000s-vintage-grey-cce4/
Other,S,$20.00,vintage hoodie,https://media-photos.depop.com/b1/440496120/repop_39859578_3612037309/3691244559_864c7149e6a24e1591b83feb7ab09695/P0.jpg,https://www.depop.com/products/dxnmek-vintage-early-2000s-embroidered-yale-a66e/
Starter,L,$35.00,vintage hoodie,https://media-photos.depop.com/b1/40333817/3696108711_353a48e576b344beb841b80ba93bf822/P0.jpg,https://www.depop.com/products/814jintageco-vintage-90s-phoenix-suns-starter-30a5/
Steve & Barry's,L,$25.00,vintage hoodie,https://media-photos.depop.com/b1/35508095/3680871098_04ddc5947e9743e08c9dd8b884fe00e7/P0.jpg,https://www.depop.com/products/burnrrstreet-vintage-y2k-steve-barrys-5cee/
American Vintage,M,$14.99,vintage hoodie,https://media-photos.depop.com/b1/36228363/3688943978_3992d4450fd641be81a0ae243cba3800/P0.jpg,https://www.depop.com/products/unsickiells-1990s-san-diego-spellout-hoodie-d5ba/
Champs Sports,M,$22.00,vintage hoodie,https://media-photos.depop.com/b1/41447391/3685593521_26715facf159436695b06b71bce0eee8/P0.jpg,https://www.depop.com/products/redr6ckvntg-vintage-2000s-boise-state-broncos-2419/
American Vintage,S,$15.00,vintage hoodie,https://media-photos.depop.com/b1/19003959/3691475450_0a635fb7558d46708ac96869ad35d9b3/P0.jpg,https://www.depop.com/products/azdrookae-vintage-y2k-navy-blue-hoodie-f7ec/
Jansport,M,$15.00,vintage hoodie,https://media-photos.depop.com/b1/482836277/3689266945_c21d7a6652e348a9b6b9ef6b437a15b7/P0.jpg,https://www.depop.com/products/to7qualityvtg-grey-colorado-state-university-hoodie-8677/
NCAA,L,$12.00,vintage hoodie,https://media-photos.depop.com/r1/492232142/3690578337_88490057c229440db0dd25a5c96b02b4/P0.jpg,https://www.depop.com/products/r0thriftz15-vintage-y2k-utah-utes-50-d80c/
Oakley,M,$34.99,vintage hoodie,https://media-photos.depop.com/b1/216828903/3692360295_3868133aca7b4957ad9d41ff01d18025/P0.jpg,https://www.depop.com/products/quick8hippingg-2000s-vintage-y2k-oakley-software-c2be/
